tick_number,sensor_x,sensor_y
3,5.636363636363637,16.363636363636363
4,5.636363636363637,16.363636363636363
5,5.636363636363637,16.363636363636363
6,5.636363636363637,16.363636363636363
7,5.636363636363637,16.363636363636363
8,5.636363636363637,16.363636363636363
9,5.636363636363637,16.363636363636363
10,5.636363636363637,16.363636363636363
11,5.636363636363637,16.363636363636363
12,5.636363636363637,16.363636363636363
13,5.636363636363637,16.363636363636363
14,5.636363636363637,16.363636363636363
15,5.636363636363637,16.363636363636363
16,5.636363636363637,16.363636363636363
17,5.636363636363637,16.363636363636363
18,5.636363636363637,16.363636363636363
19,5.636363636363637,16.363636363636363
20,5.636363636363637,16.363636363636363
